,0
186,"(187, 1621, 'lxpolkit', Decimal('0.000'), Decimal('0.300'), datetime.datetime(2022, 11, 23, 14, 34, 45, 67000))"
187,"(188, 1628, 'lxpanel', Decimal('0.000'), Decimal('0.960'), datetime.datetime(2022, 11, 23, 14, 34, 45, 77000))"
188,"(189, 1630, 'ibus-portal', Decimal('0.000'), Decimal('0.180'), datetime.datetime(2022, 11, 23, 14, 34, 45, 87000))"
189,"(190, 1633, 'pcmanfm', Decimal('0.000'), Decimal('0.800'), datetime.datetime(2022, 11, 23, 14, 34, 45, 97000))"
190,"(191, 1635, 'xscreensaver', Decimal('0.000'), Decimal('0.130'), datetime.datetime(2022, 11, 23, 14, 34, 45, 107000))"
191,"(192, 1644, 'evolution-alarm-notify', Decimal('0.000'), Decimal('1.410'), datetime.datetime(2022, 11, 23, 14, 34, 45, 120000))"
192,"(193, 1646, 'ssh-agent', Decimal('0.000'), Decimal('0.030'), datetime.datetime(2022, 11, 23, 14, 34, 45, 130000))"
193,"(194, 1670, 'parcellite', Decimal('0.000'), Decimal('0.480'), datetime.datetime(2022, 11, 23, 14, 34, 45, 143000))"
194,"(195, 1677, 'xscreensaver-systemd', Decimal('0.000'), Decimal('0.040'), datetime.datetime(2022, 11, 23, 14, 34, 45, 153000))"
195,"(196, 1678, 'agent', Decimal('0.000'), Decimal('0.140'), datetime.datetime(2022, 11, 23, 14, 34, 45, 167000))"
196,"(197, 1680, 'gvfs-udisks2-volume-monitor', Decimal('0.000'), Decimal('0.240'), datetime.datetime(2022, 11, 23, 14, 34, 45, 177000))"
197,"(198, 1695, 'at-spi-bus-launcher', Decimal('0.000'), Decimal('0.210'), datetime.datetime(2022, 11, 23, 14, 34, 45, 187000))"
198,"(199, 1715, 'nm-applet', Decimal('0.000'), Decimal('0.870'), datetime.datetime(2022, 11, 23, 14, 34, 45, 203000))"
199,"(200, 1716, 'dbus-daemon', Decimal('0.000'), Decimal('0.110'), datetime.datetime(2022, 11, 23, 14, 34, 45, 220000))"
200,"(201, 1718, 'gvfs-afc-volume-monitor', Decimal('0.000'), Decimal('0.210'), datetime.datetime(2022, 11, 23, 14, 34, 45, 230000))"
201,"(202, 1726, 'menu-cached', Decimal('0.000'), Decimal('0.140'), datetime.datetime(2022, 11, 23, 14, 34, 45, 240000))"
202,"(203, 1733, 'at-spi2-registryd', Decimal('0.000'), Decimal('0.210'), datetime.datetime(2022, 11, 23, 14, 34, 45, 250000))"
203,"(204, 1736, 'gvfs-goa-volume-monitor', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 34, 45, 263000))"
204,"(205, 1745, 'goa-daemon', Decimal('0.000'), Decimal('0.900'), datetime.datetime(2022, 11, 23, 14, 34, 45, 273000))"
205,"(206, 1747, 'xdg-desktop-portal', Decimal('0.000'), Decimal('0.330'), datetime.datetime(2022, 11, 23, 14, 34, 45, 283000))"
206,"(207, 1766, 'xdg-document-portal', Decimal('0.000'), Decimal('0.170'), datetime.datetime(2022, 11, 23, 14, 34, 45, 293000))"
207,"(208, 1773, 'xdg-permission-store', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 34, 45, 303000))"
208,"(209, 1785, 'evolution-source-registry', Decimal('0.000'), Decimal('0.650'), datetime.datetime(2022, 11, 23, 14, 34, 45, 317000))"
209,"(210, 1787, 'ibus-engine-simple', Decimal('0.000'), Decimal('0.180'), datetime.datetime(2022, 11, 23, 14, 34, 45, 327000))"
210,"(211, 1788, 'goa-identity-service', Decimal('0.000'), Decimal('0.380'), datetime.datetime(2022, 11, 23, 14, 34, 45, 337000))"
211,"(212, 1790, 'fusermount3', Decimal('0.000'), Decimal('0.030'), datetime.datetime(2022, 11, 23, 14, 34, 45, 350000))"
212,"(213, 1797, 'gvfs-gphoto2-volume-monitor', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 34, 45, 360000))"
213,"(214, 1798, 'xdg-desktop-portal-gtk', Decimal('0.000'), Decimal('0.460'), datetime.datetime(2022, 11, 23, 14, 34, 45, 373000))"
214,"(215, 1811, 'gvfs-mtp-volume-monitor', Decimal('0.000'), Decimal('0.150'), datetime.datetime(2022, 11, 23, 14, 34, 45, 383000))"
215,"(216, 1841, 'gvfsd-trash', Decimal('0.000'), Decimal('0.230'), datetime.datetime(2022, 11, 23, 14, 34, 45, 393000))"
216,"(217, 1845, 'gnome-keyring-daemon', Decimal('0.000'), Decimal('0.210'), datetime.datetime(2022, 11, 23, 14, 34, 45, 403000))"
217,"(218, 1852, 'gvfsd-metadata', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 34, 45, 413000))"
218,"(219, 1866, 'evolution-calendar-factory', Decimal('0.000'), Decimal('0.770'), datetime.datetime(2022, 11, 23, 14, 34, 45, 423000))"
219,"(220, 1875, 'dconf-service', Decimal('0.000'), Decimal('0.110'), datetime.datetime(2022, 11, 23, 14, 34, 45, 433000))"
220,"(221, 1876, 'evolution-addressbook-factory', Decimal('0.000'), Decimal('0.720'), datetime.datetime(2022, 11, 23, 14, 34, 45, 447000))"
221,"(222, 1919, 'tilix', Decimal('0.000'), Decimal('1.700'), datetime.datetime(2022, 11, 23, 14, 34, 45, 457000))"
222,"(223, 1931, 'bash', Decimal('0.000'), Decimal('0.140'), datetime.datetime(2022, 11, 23, 14, 34, 45, 467000))"
223,"(224, 1977, 'python3', Decimal('0.000'), Decimal('0.630'), datetime.datetime(2022, 11, 23, 14, 34, 45, 480000))"
224,"(225, 1, 'systemd', Decimal('0.000'), Decimal('0.340'), datetime.datetime(2022, 11, 23, 14, 42, 39, 717000))"
225,"(226, 2, 'kthreadd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 743000))"
226,"(227, 3, 'rcu_gp', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 753000))"
227,"(228, 4, 'rcu_par_gp', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 763000))"
228,"(229, 5, 'netns', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 777000))"
229,"(230, 7, 'kworker/0:0H-events_highpri', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 787000))"
230,"(231, 9, 'mm_percpu_wq', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 803000))"
231,"(232, 10, 'rcu_tasks_rude_', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 813000))"
232,"(233, 11, 'rcu_tasks_trace', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 827000))"
233,"(234, 12, 'ksoftirqd/0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 837000))"
234,"(235, 13, 'rcu_sched', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 850000))"
235,"(236, 14, 'migration/0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 863000))"
236,"(237, 15, 'idle_inject/0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 877000))"
237,"(238, 16, 'kworker/0:1-events', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 887000))"
238,"(239, 17, 'cpuhp/0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 900000))"
239,"(240, 18, 'cpuhp/1', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 910000))"
240,"(241, 19, 'idle_inject/1', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 923000))"
241,"(242, 20, 'migration/1', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 937000))"
242,"(243, 21, 'ksoftirqd/1', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 947000))"
243,"(244, 22, 'kworker/1:0-events', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 960000))"
244,"(245, 23, 'kworker/1:0H-events_highpri', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 973000))"
245,"(246, 24, 'kdevtmpfs', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 983000))"
246,"(247, 25, 'inet_frag_wq', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 39, 997000))"
247,"(248, 26, 'kauditd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 7000))"
248,"(249, 28, 'khungtaskd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 20000))"
249,"(250, 29, 'oom_reaper', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 33000))"
250,"(251, 30, 'writeback', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 47000))"
251,"(252, 31, 'kcompactd0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 57000))"
252,"(253, 32, 'ksmd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 70000))"
253,"(254, 33, 'khugepaged', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 80000))"
254,"(255, 79, 'kintegrityd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 93000))"
255,"(256, 80, 'kblockd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 110000))"
256,"(257, 81, 'blkcg_punt_bio', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 120000))"
257,"(258, 82, 'tpm_dev_wq', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 133000))"
258,"(259, 83, 'ata_sff', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 147000))"
259,"(260, 84, 'md', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 160000))"
260,"(261, 85, 'edac-poller', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 170000))"
261,"(262, 86, 'devfreq_wq', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 183000))"
262,"(263, 87, 'watchdogd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 193000))"
263,"(264, 88, 'kworker/u4:1-events_power_efficient', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 207000))"
264,"(265, 89, 'kworker/1:1H-events_highpri', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 220000))"
265,"(266, 91, 'kswapd0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 230000))"
266,"(267, 92, 'ecryptfs-kthrea', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 243000))"
267,"(268, 94, 'kthrotld', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 253000))"
268,"(269, 95, 'acpi_thermal_pm', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 267000))"
269,"(270, 96, 'nvme-wq', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 277000))"
270,"(271, 97, 'nvme-reset-wq', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 290000))"
271,"(272, 98, 'nvme-delete-wq', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 303000))"
272,"(273, 100, 'vfio-irqfd-clea', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 327000))"
273,"(274, 102, 'kworker/0:1H-events_highpri', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 337000))"
274,"(275, 103, 'mld', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 350000))"
275,"(276, 104, 'ipv6_addrconf', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 367000))"
276,"(277, 105, 'kworker/0:2-cgroup_destroy', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 377000))"
277,"(278, 114, 'kstrp', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 390000))"
278,"(279, 117, 'zswap-shrink', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 403000))"
279,"(280, 118, 'kworker/u5:0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 413000))"
280,"(281, 123, 'charger_manager', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 427000))"
281,"(282, 124, 'jbd2/nvme0n1p1-', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 440000))"
282,"(283, 125, 'ext4-rsv-conver', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 453000))"
283,"(284, 165, 'systemd-journald', Decimal('0.000'), Decimal('1.030'), datetime.datetime(2022, 11, 23, 14, 42, 40, 463000))"
284,"(285, 190, 'kworker/0:3-events', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 483000))"
285,"(286, 205, 'kaluad', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 497000))"
286,"(287, 206, 'kmpath_rdacd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 510000))"
287,"(288, 207, 'kmpathd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 520000))"
288,"(289, 208, 'kmpath_handlerd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 537000))"
289,"(290, 209, 'multipathd', Decimal('0.000'), Decimal('0.690'), datetime.datetime(2022, 11, 23, 14, 42, 40, 547000))"
290,"(291, 212, 'systemd-udevd', Decimal('0.000'), Decimal('0.170'), datetime.datetime(2022, 11, 23, 14, 42, 40, 560000))"
291,"(292, 242, 'cryptd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 573000))"
292,"(293, 243, 'ena', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 583000))"
293,"(294, 330, 'kworker/u4:6-events_unbound', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 597000))"
294,"(295, 397, 'kworker/1:7-events', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 42, 40, 610000))"
295,"(296, 475, 'systemd-networkd', Decimal('0.000'), Decimal('0.200'), datetime.datetime(2022, 11, 23, 14, 42, 40, 623000))"
296,"(297, 477, 'systemd-resolved', Decimal('0.000'), Decimal('0.320'), datetime.datetime(2022, 11, 23, 14, 42, 40, 640000))"
297,"(298, 511, 'accounts-daemon', Decimal('0.000'), Decimal('0.200'), datetime.datetime(2022, 11, 23, 14, 42, 40, 653000))"
298,"(299, 512, 'acpid', Decimal('0.000'), Decimal('0.030'), datetime.datetime(2022, 11, 23, 14, 42, 40, 663000))"
299,"(300, 513, 'avahi-daemon', Decimal('0.000'), Decimal('0.100'), datetime.datetime(2022, 11, 23, 14, 42, 40, 677000))"
300,"(301, 514, 'dbus-daemon', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 42, 40, 687000))"
301,"(302, 515, 'NetworkManager', Decimal('0.000'), Decimal('0.450'), datetime.datetime(2022, 11, 23, 14, 42, 40, 700000))"
302,"(303, 516, 'connmand', Decimal('0.000'), Decimal('0.180'), datetime.datetime(2022, 11, 23, 14, 42, 40, 710000))"
303,"(304, 518, 'dundee', Decimal('0.000'), Decimal('0.050'), datetime.datetime(2022, 11, 23, 14, 42, 40, 723000))"
304,"(305, 522, 'irqbalance', Decimal('0.000'), Decimal('0.100'), datetime.datetime(2022, 11, 23, 14, 42, 40, 737000))"
305,"(306, 523, 'networkd-dispat', Decimal('0.000'), Decimal('0.530'), datetime.datetime(2022, 11, 23, 14, 42, 40, 747000))"
306,"(307, 524, 'ofonod', Decimal('0.000'), Decimal('0.150'), datetime.datetime(2022, 11, 23, 14, 42, 40, 760000))"
307,"(308, 525, 'polkitd', Decimal('0.000'), Decimal('0.260'), datetime.datetime(2022, 11, 23, 14, 42, 40, 773000))"
308,"(309, 526, 'power-profiles-daemon', Decimal('0.000'), Decimal('0.190'), datetime.datetime(2022, 11, 23, 14, 42, 40, 787000))"
309,"(310, 527, 'rsyslogd', Decimal('0.000'), Decimal('0.150'), datetime.datetime(2022, 11, 23, 14, 42, 40, 797000))"
310,"(311, 528, 'snapd', Decimal('0.000'), Decimal('0.740'), datetime.datetime(2022, 11, 23, 14, 42, 40, 810000))"
311,"(312, 529, 'switcheroo-control', Decimal('0.000'), Decimal('0.120'), datetime.datetime(2022, 11, 23, 14, 42, 40, 827000))"
312,"(313, 530, 'systemd-logind', Decimal('0.000'), Decimal('0.230'), datetime.datetime(2022, 11, 23, 14, 42, 40, 837000))"
313,"(314, 531, 'udisksd', Decimal('0.000'), Decimal('0.330'), datetime.datetime(2022, 11, 23, 14, 42, 40, 847000))"
314,"(315, 532, 'wpa_supplicant', Decimal('0.000'), Decimal('0.150'), datetime.datetime(2022, 11, 23, 14, 42, 40, 870000))"
315,"(316, 533, 'avahi-daemon', Decimal('0.000'), Decimal('0.010'), datetime.datetime(2022, 11, 23, 14, 42, 40, 883000))"
316,"(317, 557, 'ModemManager', Decimal('0.000'), Decimal('0.300'), datetime.datetime(2022, 11, 23, 14, 42, 40, 897000))"
317,"(318, 579, 'amazon-ssm-agent', Decimal('0.000'), Decimal('0.360'), datetime.datetime(2022, 11, 23, 14, 42, 40, 907000))"
318,"(319, 583, 'containerd', Decimal('0.000'), Decimal('0.880'), datetime.datetime(2022, 11, 23, 14, 42, 40, 917000))"
319,"(320, 596, 'bpfilter_umh', Decimal('0.000'), Decimal('0.020'), datetime.datetime(2022, 11, 23, 14, 42, 40, 930000))"
320,"(321, 609, 'xrdp-sesman', Decimal('0.000'), Decimal('0.140'), datetime.datetime(2022, 11, 23, 14, 42, 40, 943000))"
321,"(322, 652, 'xrdp', Decimal('0.000'), Decimal('0.060'), datetime.datetime(2022, 11, 23, 14, 42, 40, 957000))"
322,"(323, 669, 'unattended-upgr', Decimal('0.000'), Decimal('0.590'), datetime.datetime(2022, 11, 23, 14, 42, 40, 967000))"
323,"(324, 714, 'chronyd', Decimal('0.000'), Decimal('0.090'), datetime.datetime(2022, 11, 23, 14, 42, 40, 980000))"
324,"(325, 722, 'chronyd', Decimal('0.000'), Decimal('0.080'), datetime.datetime(2022, 11, 23, 14, 42, 40, 993000))"
325,"(326, 781, 'dockerd', Decimal('0.000'), Decimal('1.930'), datetime.datetime(2022, 11, 23, 14, 42, 41, 7000))"
326,"(327, 783, 'cron', Decimal('0.000'), Decimal('0.070'), datetime.datetime(2022, 11, 23, 14, 42, 41, 20000))"
327,"(328, 807, 'agetty', Decimal('0.000'), Decimal('0.030'), datetime.datetime(2022, 11, 23, 14, 42, 41, 33000))"
328,"(329, 811, 'sshd', Decimal('0.000'), Decimal('0.220'), datetime.datetime(2022, 11, 23, 14, 42, 41, 43000))"
329,"(330, 815, 'gdm3', Decimal('0.000'), Decimal('0.220'), datetime.datetime(2022, 11, 23, 14, 42, 41, 53000))"
330,"(331, 1002, 'ssm-agent-worker', Decimal('0.000'), Decimal('0.550'), datetime.datetime(2022, 11, 23, 14, 42, 41, 77000))"
331,"(332, 1034, 'gdm-session-worker', Decimal('0.000'), Decimal('0.250'), datetime.datetime(2022, 11, 23, 14, 42, 41, 90000))"
332,"(333, 1039, 'systemd', Decimal('0.000'), Decimal('0.250'), datetime.datetime(2022, 11, 23, 14, 42, 41, 100000))"
333,"(334, 1040, '(sd-pam)', Decimal('0.000'), Decimal('0.110'), datetime.datetime(2022, 11, 23, 14, 42, 41, 117000))"
334,"(335, 1046, 'pipewire', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 42, 41, 127000))"
335,"(336, 1047, 'pipewire-media-session', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 42, 41, 140000))"
336,"(337, 1048, 'pulseaudio', Decimal('0.000'), Decimal('0.450'), datetime.datetime(2022, 11, 23, 14, 42, 41, 150000))"
337,"(338, 1049, 'rtkit-daemon', Decimal('0.000'), Decimal('0.040'), datetime.datetime(2022, 11, 23, 14, 42, 41, 163000))"
338,"(339, 1053, 'dbus-daemon', Decimal('0.000'), Decimal('0.110'), datetime.datetime(2022, 11, 23, 14, 42, 41, 173000))"
339,"(340, 1056, 'gdm-x-session', Decimal('0.000'), Decimal('0.150'), datetime.datetime(2022, 11, 23, 14, 42, 41, 187000))"
340,"(341, 1058, 'Xorg', Decimal('0.000'), Decimal('1.720'), datetime.datetime(2022, 11, 23, 14, 42, 41, 203000))"
341,"(342, 1065, 'dbus-run-session', Decimal('0.000'), Decimal('0.040'), datetime.datetime(2022, 11, 23, 14, 42, 41, 217000))"
342,"(343, 1066, 'dbus-daemon', Decimal('0.000'), Decimal('0.120'), datetime.datetime(2022, 11, 23, 14, 42, 41, 227000))"
343,"(344, 1067, 'gnome-session-binary', Decimal('0.000'), Decimal('0.440'), datetime.datetime(2022, 11, 23, 14, 42, 41, 240000))"
344,"(345, 1072, 'at-spi-bus-launcher', Decimal('0.000'), Decimal('0.200'), datetime.datetime(2022, 11, 23, 14, 42, 41, 250000))"
345,"(346, 1077, 'dbus-daemon', Decimal('0.000'), Decimal('0.110'), datetime.datetime(2022, 11, 23, 14, 42, 41, 263000))"
346,"(347, 1095, 'gnome-shell', Decimal('0.000'), Decimal('4.920'), datetime.datetime(2022, 11, 23, 14, 42, 41, 273000))"
347,"(348, 1112, 'xdg-permission-store', Decimal('0.000'), Decimal('0.130'), datetime.datetime(2022, 11, 23, 14, 42, 41, 290000))"
348,"(349, 1118, 'upowerd', Decimal('0.000'), Decimal('0.220'), datetime.datetime(2022, 11, 23, 14, 42, 41, 300000))"
349,"(350, 1129, 'packagekitd', Decimal('0.000'), Decimal('0.520'), datetime.datetime(2022, 11, 23, 14, 42, 41, 313000))"
350,"(351, 1132, 'at-spi2-registryd', Decimal('0.000'), Decimal('0.210'), datetime.datetime(2022, 11, 23, 14, 42, 41, 330000))"
351,"(352, 1143, 'gsd-color', Decimal('0.000'), Decimal('0.510'), datetime.datetime(2022, 11, 23, 14, 42, 41, 343000))"
352,"(353, 1144, 'ibus-daemon', Decimal('0.000'), Decimal('0.290'), datetime.datetime(2022, 11, 23, 14, 42, 41, 357000))"
353,"(354, 1146, 'gsd-print-notifications', Decimal('0.000'), Decimal('0.280'), datetime.datetime(2022, 11, 23, 14, 42, 41, 367000))"
354,"(355, 1148, 'gsd-a11y-settings', Decimal('0.000'), Decimal('0.170'), datetime.datetime(2022, 11, 23, 14, 42, 41, 377000))"
355,"(356, 1153, 'gsd-power', Decimal('0.000'), Decimal('0.490'), datetime.datetime(2022, 11, 23, 14, 42, 41, 390000))"
356,"(357, 1158, 'gsd-media-keys', Decimal('0.000'), Decimal('0.550'), datetime.datetime(2022, 11, 23, 14, 42, 41, 400000))"
357,"(358, 1160, 'gsd-rfkill', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 42, 41, 413000))"
358,"(359, 1161, 'gvfsd', Decimal('0.000'), Decimal('0.190'), datetime.datetime(2022, 11, 23, 14, 42, 41, 423000))"
359,"(360, 1163, 'gsd-keyboard', Decimal('0.000'), Decimal('0.410'), datetime.datetime(2022, 11, 23, 14, 42, 41, 433000))"
360,"(361, 1165, 'gsd-wacom', Decimal('0.000'), Decimal('0.400'), datetime.datetime(2022, 11, 23, 14, 42, 41, 447000))"
361,"(362, 1167, 'gsd-housekeeping', Decimal('0.000'), Decimal('0.180'), datetime.datetime(2022, 11, 23, 14, 42, 41, 457000))"
362,"(363, 1171, 'gsd-sound', Decimal('0.000'), Decimal('0.240'), datetime.datetime(2022, 11, 23, 14, 42, 41, 467000))"
363,"(364, 1172, 'gsd-datetime', Decimal('0.000'), Decimal('0.410'), datetime.datetime(2022, 11, 23, 14, 42, 41, 483000))"
364,"(365, 1176, 'gsd-smartcard', Decimal('0.000'), Decimal('0.200'), datetime.datetime(2022, 11, 23, 14, 42, 41, 493000))"
365,"(366, 1179, 'gsd-screensaver-proxy', Decimal('0.000'), Decimal('0.150'), datetime.datetime(2022, 11, 23, 14, 42, 41, 507000))"
366,"(367, 1183, 'gsd-sharing', Decimal('0.000'), Decimal('0.250'), datetime.datetime(2022, 11, 23, 14, 42, 41, 517000))"
367,"(368, 1210, 'gsd-printer', Decimal('0.000'), Decimal('0.380'), datetime.datetime(2022, 11, 23, 14, 42, 41, 530000))"
368,"(369, 1212, 'colord', Decimal('0.000'), Decimal('0.330'), datetime.datetime(2022, 11, 23, 14, 42, 41, 553000))"
369,"(370, 1241, 'ibus-dconf', Decimal('0.000'), Decimal('0.190'), datetime.datetime(2022, 11, 23, 14, 42, 41, 563000))"
